,BA,Accuracy,Recall,f1_score,roc_auc,pr_auc,cv,data,train_time,prediction_time,alpha,sigma_mul,T,t,cutoff
0,0.5739247311827957,0.7923076923076923,0.8145161290322581,0.8820960698689957,0.8024193548387097,0.09789970405286044,3,ToeSegmentation2,28.562175750732422,7.128715515136719e-05,0.05,1.5,0.5,10,0.06
0,0.7446236559139785,0.8153846153846154,0.8225806451612904,0.8947368421052632,0.8467741935483871,0.14606928455812834,4,ToeSegmentation2,27.14870834350586,8.702278137207031e-05,0.05,1.5,0.5,10,0.06
0,0.5739247311827957,0.7923076923076923,0.8145161290322581,0.8820960698689957,0.7432795698924731,0.08002493410508318,5,ToeSegmentation2,30.814903736114502,7.200241088867188e-05,0.05,1.5,0.5,10,0.06
0,0.5470430107526881,0.8923076923076924,0.9274193548387096,0.9426229508196722,0.8118279569892474,0.10705502601507852,6,ToeSegmentation2,24.083773851394653,0.00016999244689941406,0.05,1.5,0.5,10,0.06
0,0.5618279569892473,0.7692307692307693,0.7903225806451613,0.8672566371681416,0.7715053763440861,0.08753492020277373,7,ToeSegmentation2,29.39160394668579,7.772445678710938e-05,0.05,1.5,0.5,10,0.06
0,0.6733870967741935,0.8307692307692308,0.8467741935483871,0.9051724137931034,0.8615591397849462,0.13995281293654166,8,ToeSegmentation2,24.539795398712158,7.05718994140625e-05,0.05,1.5,0.5,10,0.06
0,0.6814516129032258,0.8461538461538461,0.8629032258064516,0.9145299145299146,0.8696236559139785,0.47055166397711634,9,ToeSegmentation2,36.32630372047424,7.05718994140625e-05,0.05,1.5,0.5,10,0.06
0,0.5701754385964912,0.7833333333333333,0.8070175438596491,0.8761904761904762,0.5906432748538012,0.058443059728249445,0,Wine,4.941042184829712,4.363059997558594e-05,0.05,1.5,0.5,10,0.06
0,0.42105263157894735,0.8,0.8421052631578947,0.8888888888888888,0.3742690058479532,0.037483511494843594,1,Wine,3.8580591678619385,4.363059997558594e-05,0.05,1.5,0.5,10,0.06
0,0.4473684210526316,0.85,0.8947368421052632,0.918918918918919,0.28070175438596495,0.03917299824663939,2,Wine,4.542542457580566,4.124641418457031e-05,0.05,1.5,0.5,10,0.06
0,0.6140350877192983,0.8666666666666667,0.8947368421052632,0.9272727272727272,0.6140350877192983,0.3762877845695183,3,Wine,3.6844067573547363,4.2438507080078125e-05,0.05,1.5,0.5,10,0.06
0,0.45614035087719296,0.8666666666666667,0.9122807017543859,0.9285714285714285,0.1754385964912281,0.028412720023985365,4,Wine,4.334462881088257,3.9577484130859375e-05,0.05,1.5,0.5,10,0.06
0,0.41228070175438597,0.7833333333333333,0.8245614035087719,0.8785046728971964,0.5029239766081872,0.048453391152430275,5,Wine,3.344709873199463,4.00543212890625e-05,0.05,1.5,0.5,10,0.06
0,0.543859649122807,0.7333333333333333,0.7543859649122807,0.8431372549019609,0.5438596491228069,0.06002870586203919,6,Wine,3.390723466873169,5.030632019042969e-05,0.05,1.5,0.5,10,0.06
0,0.39473684210526316,0.75,0.7894736842105263,0.8571428571428572,0.2748538011695907,0.0321151612173203,7,Wine,3.20866060256958,4.5299530029296875e-05,0.05,1.5,0.5,10,0.06
